theatre_id;title;author;director;url;genre;start_date;end_date;salle;editorspick
theatre-14;Un garçon d'Italie;Philippe Besson;Mathieu Touzé;https://www.theatre14.fr/programmation-25-26/un-garcon-d-italie;drame;03/03/2026;28/03/2026;;
theatre-14;Vous parler de mon fils;Philippe Besson;Mathieu Touzé;https://www.theatre14.fr/programmation-25-26/vous-parler-de-mon-fils;drame;03/03/2026;28/03/2026;;
theatre-14;Roberto Zucco;Bernard-Marie Koltès;Rose Noël;https://www.theatre14.fr/programmation-25-26/roberto-zucco;drame;31/03/2026;18/04/2026;;
theatre-14;Les Déshérités, l'ère des enfants sans père (Platonov);Anton Tchekhov;Yuming Hey;https://www.theatre14.fr/programmation-25-26/les-desherites-2026;drame;02/05/2026;23/05/2026;;
theatre-de-la-cite-internationale;Faire la nique;Apolline Clavreuil;Apolline Clavreuil;https://www.theatredelacite.com/faire-la-nique;;20/03/2026;21/03/2026;Jeune Théâtre National;
theatre-de-la-cite-internationale;Psicofonía;Faustine Noguès;Faustine Noguès;https://www.theatredelacite.com/psicofonia;drame;02/04/2026;13/04/2026;Resserre;
theatre-de-la-cite-internationale;Lengua de vaca;Luis Sorolla;Marcial Di Fonzo Bo;https://www.theatredelacite.com/lengua-de-vaca;;08/04/2026;11/04/2026;Coupole;
theatre-de-la-cite-internationale;Anitya - L'impermanence;Inbal Ben Haim;;https://www.theatredelacite.com/anitya-l-impermanence;;28/05/2026;30/05/2026;Galerie;
theatre-de-la-cite-internationale;Fragments;;;https://www.theatredelacite.com/fragments;;02/06/2026;06/06/2026;Galerie;
theatre-silvia-monfort;MOI, ELLES;Wang Jing;Wang Jing;https://theatresilviamonfort.eu/events/moi-elles/;drame;19/03/2026;28/03/2026;cabane;
theatre-silvia-monfort;Une maison de poupée;;Yngvild Aspeli, Paola Rizza;https://theatresilviamonfort.eu/events/une-maison-de-poupee/;drame;19/03/2026;29/03/2026;grande salle;
theatre-silvia-monfort;Elles vivent;Antoine Defoort  ;;https://theatresilviamonfort.eu/events/elles-vivent/;comique;02/04/2026;04/04/2026;grande salle;
theatre-silvia-monfort;FWD : Chantal;Maëlle Dequiedt;Maëlle Dequiedt;https://theatresilviamonfort.eu/events/fwd-chantal/;drame;02/04/2026;04/04/2026;studio;
theatre-silvia-monfort;The Democracy Project;;Maëlle Dequiedt;https://theatresilviamonfort.eu/events/the-democracy-project/;;02/04/2026;04/04/2026;cabane;
theatre-silvia-monfort;Salade, tomate, oignons;Jean-Christophe Folly;Jean-Christophe Folly;https://theatresilviamonfort.eu/events/salade-tomate-oignons/;drame;08/04/2026;18/04/2026;cabane;
theatre-silvia-monfort;Biosphère;Frédéric Sonntag;Frédéric Sonntag;https://theatresilviamonfort.eu/events/biosphere/;drame;08/04/2026;18/04/2026;grande salle;
le-grand-parquet;Bataille 23;Émilie Chertier;Émilie Chertier, Julien Gaspar-Oliveri, François Praud;https://www.legrandparquet.fr/agenda/bataille-23/;drame;08/04/2026;10/04/2026;;
le-grand-parquet;OTNI #5;;;https://www.legrandparquet.fr/agenda/otni-5/;;04/06/2026;14/06/2026;;
le-grand-parquet;"Le Couteau ou j aurais voulu appeler mon solo ""Vous êtes tous des fils de pute"" mais c était déjà pris par Rodrigo García";;Alix Lavignasse, Zoé Belloche;https://www.legrandparquet.fr/agenda/le-couteau-ou-jaurais-voulu-appeler-mon-solo-vous-etes-tous-des-fils-de-pute-mais-cetait-deja-pris-par-rodrigo-garcia/;drame;15/04/2026;16/04/2026;;true
theatre-paris-villette;Ce soir j'ai de la fièvre et toi tu meurs de froid;Julien Lewkowicz;Julien Lewkowicz;https://www.theatre-paris-villette.fr/spectacle/ce-soir-jai-de-la-fievre-et-toi-tu-meurs-de-froid/;comique;19/03/2026;04/04/2026;Grande Salle;
theatre-paris-villette;Queen Kong;Hélène Vignal;Géraldine Pochon;https://www.theatre-paris-villette.fr/spectacle/queen-kong/;drame;24/03/2026;03/04/2026;Salle Blanche;
theatre-paris-villette;Les Enfants c'est moi;Marie Levavasseur;Marie Levavasseur;https://www.theatre-paris-villette.fr/spectacle/les-enfants-cest-moi-2/;comique;17/04/2026;03/05/2026;Grande Salle;
theatre-paris-villette;Cavalières;;Isabelle Lafon;https://www.theatre-paris-villette.fr/spectacle/cavalieres/;;16/06/2026;27/06/2026;Grande Salle;
centquatre;Timon/Titus;;David Czesienski;https://www.104.fr/fiche-evenement/collectif-os-o-timon-titus.html;drame;07/04/2026;11/04/2026;La Maison des Métallos;
centquatre;Le Procès de Jeanne Bloch;François Hien;;https://www.104.fr/fiche-evenement/francois-hien-le-proces-de-jeanne-bloch.html;drame;02/06/2026;06/06/2026;;
