theatre_id;title;author;director;url;start_date;end_date;salle;type;editorspick
odeon;Capítulo II – The Brotherhood;Carolina Bianchi;Carolina Bianchi;https://www.theatre-odeon.eu/fr/saison-2026-2027/spectacles-2026-2027/carolina-bianchi-cara-de-cavalo-capitulo-2-the-brotherhood-s26-27;24/09/2026;01/10/2026;Odéon Paris 6;théâtre;
odeon;Capítulo III – Uma Luz Cordial;Carolina Bianchi;Carolina Bianchi;https://www.theatre-odeon.eu/fr/saison-2026-2027/spectacles-2026-2027/carolina-bianchi-cara-de-cavalo-capitulo-3-uma-luz-cordial-s26-27;25/09/2026;02/10/2026;Odéon Paris 6;théâtre;
odeon;Lexikon;Tanya Beyeler, Pablo Gisbert;Tanya Beyeler, Pablo Gisbert;https://www.theatre-odeon.eu/fr/saison-2026-2027/spectacles-2026-2027/el-conde-de-torrefiel-lexikon-s26-27;02/10/2026;16/10/2026;Berthier Paris 17;théâtre;
odeon;Faust;;Romeo Castellucci;https://www.theatre-odeon.eu/fr/saison-2026-2027/spectacles-2026-2027/romeo-castellucci-faust-fait-non-dit-s26-27;30/10/2026;27/11/2026;Odéon Paris 6;théâtre;
odeon;Frissure;;Myriam Gourfink;https://www.theatre-odeon.eu/fr/saison-2026-2027/spectacles-2026-2027/myriam-gourfink-fondre-frissure-s26-27;03/11/2026;07/11/2026;Petit Odéon;théâtre;
odeon;Arche;;Myriam Gourfink;https://www.theatre-odeon.eu/fr/saison-2026-2027/spectacles-2026-2027/myriam-gourfink-fondre-arche-s26-27;10/11/2026;21/11/2026;Petit Odéon;théâtre;
odeon;Œdipe Roi;Sophocle;Eddy D'aranjo;https://www.theatre-odeon.eu/fr/saison-2026-2027/spectacles-2026-2027/eddy-d-aranjo-oedipe-roi-s26-27;14/11/2026;29/11/2026;Berthier Paris 17;théâtre;
odeon;Almasty;;Myriam Gourfink;https://www.theatre-odeon.eu/fr/saison-2026-2027/spectacles-2026-2027/myriam-gourfink-fondre-almasty-s26-27;25/11/2026;10/12/2026;Petit Odéon;théâtre;
odeon;Food Court;;Back to Back Theatre;https://www.theatre-odeon.eu/fr/saison-2026-2027/spectacles-2026-2027/back-to-back-theatre-food-court-s26-27;04/12/2026;19/12/2026;Odéon Paris 6;théâtre;
odeon;Maldoror;Lautréamont, Roberto Bolaño;Julien Gosselin;https://www.theatre-odeon.eu/fr/saison-2026-2027/spectacles-2026-2027/julien-gosselin-maldoror-s26-27;15/01/2027;06/02/2027;Berthier Paris 17;théâtre;
odeon;Seppuku. El funeral de Mishima;Angélica Liddell;Angélica Liddell;https://www.theatre-odeon.eu/fr/saison-2026-2027/spectacles-2026-2027/angelica-liddell-seppuku-el-funeral-de-mishima-s26-27;19/01/2027;05/02/2027;Odéon Paris 6;théâtre;
odeon;Salopes! #1;;Simon-Élie Galibert;https://www.theatre-odeon.eu/fr/saison-2026-2027/spectacles-2026-2027/simon-elie-galibert-salopes-1-s26-27;21/01/2027;05/02/2027;Petit Odéon;théâtre;
odeon;Capri – Wyspa Uciekinierów;Curzio Malaparte;Krystian Lupa;https://www.theatre-odeon.eu/fr/saison-2026-2027/spectacles-2026-2027/krystian-lupa-capri-wyspa-uciekinierow-s26-27;24/02/2027;07/03/2027;Odéon Paris 6;théâtre;
odeon;La Nuée;;Nacera Belaza;https://www.theatre-odeon.eu/fr/saison-2026-2027/spectacles-2026-2027/nacera-belaza-la-nue-s26-27;25/02/2027;14/03/2027;Berthier Paris 17;théâtre;
odeon;Salopes! #2;;Simon-Élie Galibert;https://www.theatre-odeon.eu/fr/saison-2026-2027/spectacles-2026-2027/simon-elie-galibert-salopes-2-s26-27;19/03/2027;03/04/2027;Petit Odéon;théâtre;
odeon;Vampire's Mountain;;Philippe Quesne;https://www.theatre-odeon.eu/fr/saison-2026-2027/spectacles-2026-2027/philippe-quesne-vampires-mountain-s26-27;20/03/2027;04/04/2027;Odéon Paris 6;théâtre;
odeon;Le Soleil se couche parce qu'il est lourd;Laura Vazquez;Laura Vazquez;https://www.theatre-odeon.eu/fr/saison-2026-2027/spectacles-2026-2027/laura-vazquez-10-000-langages-le-soleil-se-couche-parce-quil-est-lourd-s26-27;16/04/2027;20/04/2027;Berthier Paris 17;théâtre;
odeon;Le Sentiment de Monstre;Laura Vazquez;Laura Vazquez;https://www.theatre-odeon.eu/fr/saison-2026-2027/spectacles-2026-2027/laura-vazquez-10-000-langages-le-sentiment-de-monstre-s26-27;21/04/2027;23/04/2027;Berthier Paris 17;théâtre;
odeon;Je ne sais comment je dure;Laura Vazquez;Laura Vazquez;https://www.theatre-odeon.eu/fr/saison-2026-2027/spectacles-2026-2027/laura-vazquez-10-000-langages-je-ne-sais-comment-je-dure-s26-27;24/04/2027;24/04/2027;Berthier Paris 17;théâtre;
odeon;Zéro;Laura Vazquez;Hubert Colas;https://www.theatre-odeon.eu/fr/saison-2026-2027/spectacles-2026-2027/hubert-colas-zero-s26-27;30/04/2027;05/05/2027;Berthier Paris 17;théâtre;
odeon;Red;;Eszter Salamon;https://www.theatre-odeon.eu/fr/saison-2026-2027/spectacles-2026-2027/eszter-salamon-red-s26-27;13/05/2027;28/05/2027;Berthier Paris 17;théâtre;
odeon;Performances;;Le Zerep, Sophie Perez;https://www.theatre-odeon.eu/fr/saison-2026-2027/spectacles-2026-2027/le-zerep-sophie-perez-chapitre-germanopratin-performances-s26-27;22/05/2027;29/05/2027;Odéon Paris 6;théâtre;
